b00,b01,b02,b03,b04,b05,b06,b07,b10,b11,b12,b13,b14,b15,b16,b17,b20,b21,b22,b23,b24,b25,b26,b27,hand_me,hand_enemy,board_me,board_enemy,solution
2,1,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,2,2,0,1,2,0,0,1,1,5,6,429
0,1,0,1,0,0,0,1,1,0,1,0,2,0,0,2,2,1,1,0,0,1,2,0,0,0,8,4,216
0,0,0,1,0,2,2,1,2,0,1,0,2,2,1,0,1,2,1,2,1,0,2,0,1,0,7,8,1
1,0,0,0,0,2,0,2,1,2,2,0,1,2,2,0,0,0,0,2,0,0,2,0,0,0,3,8,43
0,1,2,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,3,4,97
2,2,1,1,2,2,0,0,0,0,2,2,1,0,0,0,0,0,0,1,2,0,2,0,0,0,4,8,72
0,0,2,0,2,2,1,1,1,0,0,1,0,1,1,0,1,2,0,2,2,0,0,0,0,0,7,6,456
1,0,0,0,2,0,0,2,2,1,1,0,1,0,1,1,0,0,1,2,0,2,2,2,0,0,7,7,24
1,1,1,2,0,0,2,0,2,2,0,1,1,1,0,0,2,0,2,0,0,1,0,0,0,0,7,6,568
0,1,0,2,0,0,2,0,1,0,2,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,5,4,527
0,1,1,0,0,0,2,2,0,0,2,1,0,0,1,2,1,2,1,1,0,1,0,1,0,0,9,5,120
1,2,0,0,0,1,0,0,2,1,2,0,0,1,2,0,0,0,0,1,1,1,0,2,1,1,7,5,347
2,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,1,1,0,2,0,0,2,0,0,0,5,5,295
0,0,2,1,2,0,2,1,1,0,1,0,2,2,2,1,0,1,2,1,1,2,0,0,0,0,8,8,343
0,1,1,0,2,0,2,2,0,0,0,2,0,2,2,0,2,1,0,2,0,2,0,1,0,0,4,9,120
0,2,1,0,0,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,2,1,1,0,0,8,3,151
0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,3,5,213
1,1,0,0,0,0,2,2,0,2,1,0,2,0,1,0,0,0,0,0,1,2,2,2,0,0,5,7,95
1,0,0,0,0,0,2,1,0,1,0,2,0,0,2,0,1,0,0,2,0,1,0,1,0,0,6,4,199
1,0,1,0,1,2,0,1,2,1,1,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,9,4,71
0,0,0,1,1,1,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,3,5,241
1,0,0,0,0,2,0,2,2,1,0,0,2,2,0,0,0,1,0,0,1,1,0,0,3,2,5,5,16
2,1,0,2,1,0,0,2,1,0,1,2,0,1,0,0,2,1,2,1,0,0,2,0,0,0,7,7,295
1,2,0,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,2,2,2,1,0,0,3,2,5,6,15
1,2,1,2,0,1,0,0,0,1,1,1,1,2,2,0,0,1,0,0,2,0,0,0,0,0,8,5,575
0,1,1,2,2,0,0,1,2,0,1,2,0,1,2,0,2,1,2,2,1,1,2,0,0,0,8,9,47
2,1,1,0,2,0,1,2,2,2,1,0,0,0,0,0,2,0,1,2,0,0,2,2,0,0,5,9,391
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,2,2,0,0,0,3,4,197
0,2,0,0,1,0,1,2,0,0,2,1,0,0,0,1,1,1,0,2,0,2,0,0,0,0,6,5,503
